datetime,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2024-01-02,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,-0.013045371
2024-01-03,99952571.37201402,2.342858351767063e-16,94857255.97201502,0.9485725597201502,47428.627986007516,0.00047428627986007514,94857255.97201505,5095315.399998963,-0.0023771524
2024-01-04,99079492.43112232,-0.008550168458160588,115531063.20074144,0.20683617184574934,65896.24582066633,0.00018476380928634728,98415023.43709321,664468.9940290982,-0.009250283
2024-01-05,97662637.76621075,-0.01413211167128873,132281876.85007273,0.16906438697166368,82548.45936100726,0.00016806922534365174,97212021.20370263,450616.562508123,-0.005359888
2024-01-08,96454246.19182873,-0.012205957720047214,148603649.46587598,0.16712401988235312,98874.00634037447,0.0001671626668373226,96012406.44917208,441839.742656647,-0.0129314065
2024-01-09,96871776.67065035,0.004498391513272766,164948480.5786357,0.16945683324560976,115232.49000719856,0.00016959837760061126,96418990.30353175,452786.36711859866,0.0019598007
2024-01-10,96247167.71943209,-0.0062802156650807,181186719.2055951,0.1676261051984936,131465.7918742434,0.0001675751434004939,95820488.1740096,426679.54542248626,-0.004668176
2024-01-11,97201598.53640804,0.010115097601447414,200258870.2476797,0.19815804967561637,150584.47024322677,0.0001986414646996759,96700983.01555708,500615.520850962,0.0056574345
2024-01-12,96197663.10390754,-0.010139618537733387,218606392.25487784,0.18875741020170403,168932.77232664183,0.0001887654355452034,95713835.73270616,483827.37120137597,-0.0034894347
2024-01-15,96567255.29426065,0.0040362807249665076,237281331.01939172,0.1941308984225762,187621.35534665518,0.00019427273404580472,96074827.99508041,492427.29918024223,-0.0009895563
2024-01-16,97021083.44696906,0.004878981542119506,254613263.88982657,0.1794804337932234,204943.05879208382,0.00017937450321691111,96566436.70124666,454646.7457224028,0.0060836077
2024-01-17,94927950.0748374,-0.02139914299637148,271559524.9841268,0.17466575812424245,221908.39257916337,0.00017486234109468244,94452123.2773435,475826.7974938988,-0.021751761
2024-01-18,96851444.21705014,0.02040026417439494,284671453.608461,0.13812505815196996,234969.5094268866,0.00013758979138837787,96490302.08962604,361142.1274240932,0.014137149
2024-01-19,95774772.82808688,-0.010943604430747884,301380731.64026225,0.17252482053189303,251737.00433209748,0.00017312591506259714,95313964.44874862,460808.37933826074,-0.0015116334
2024-01-22,92881394.88111082,-0.030030499360198873,318585957.7036683,0.17964256719552824,268950.69717110775,0.00017973097017842454,92420866.6434032,460528.23770760885,-0.015560687
2024-01-23,95174186.92886488,0.024855126832555342,334386658.8322983,0.1701169663618322,284737.49957170925,0.00016996732683449448,94757242.94961488,416943.97924999986,0.00404799
2024-01-24,96432873.6932964,0.01340163348045613,351166017.94721156,0.17630157563052803,301540.30516125367,0.0001765479289263923,95985839.57037376,447034.12292264635,0.013979316
2024-01-25,98331544.79514496,0.01987019538451583,368615237.875597,0.1809468001947393,319009.2450888323,0.00018115129476633005,97862539.61376335,469005.1813816093,0.020081758
2024-01-26,96121183.52773693,-0.0222914280945087,387011355.1772101,0.1870825617551102,337419.95227392507,0.00018723093615022514,95641409.28658104,479774.2411558945,-0.0027222037
2024-01-29,93331904.20029902,-0.02887809606279645,399629203.0941452,0.13127020968581868,350902.5081281574,0.00014026622810300486,91136196.64040303,2195707.559895996,-0.008956671
2024-01-30,91572650.11739798,-0.01867318262770015,416918687.7708156,0.1852473152113727,367352.89890600485,0.00017625688577555811,91071580.74592583,501069.3714721445,-0.017833173
2024-01-31,89378650.34112367,-0.02381594587962591,430092721.0829095,0.14386427929304807,380463.395930444,0.0001431704445337253,89017764.0419856,360886.2991380752,-0.009149373
2024-02-01,90804577.09949745,0.016135474051768274,446293668.3443207,0.18126193671059534,396703.5309179327,0.00018170038287114852,90381555.48319176,423021.6163057005,0.0007339716
2024-02-02,88039256.46956152,-0.030275322924837766,462465288.520787,0.17809256639945065,412886.266113254,0.00017821497233106858,87610187.55074133,429068.91882018675,-0.011834502
2024-02-05,86279220.37437965,-0.019812518406629745,478215877.1906169,0.1789041536859807,428642.97198593715,0.0001789736363588081,85853673.75572556,425546.6186540893,0.0065385103
2024-02-06,92913393.12221193,0.07703755501844652,490820629.6638398,0.14609256340667925,441210.4106935973,0.00014566008655534848,92575041.47339131,338351.64882063004,0.03476727
2024-02-07,95185525.04027174,0.024602191669724594,504544471.8464247,0.14770574748608606,454951.5989109151,0.0001478924378452478,94826222.51020265,359302.53006909415,0.009644628
2024-02-08,97766491.3380091,0.027303960900736085,522457418.8270054,0.18818982164569617,472927.1551891704,0.00018884758234668643,97299945.76886912,466545.56913999,0.006370306
2024-02-19,100568383.93929306,0.02885234668253731,541334285.4411244,0.19308115035913345,491827.2559247376,0.0001933187994874819,100074270.22799219,494113.71130086854,0.01155448
2024-02-20,99854067.79282953,-0.006900536479825818,561638569.599176,0.20189530111479226,512167.6002980452,0.00020225386524641594,99308173.99538982,545893.7974397023,0.0020682812
2024-02-21,99967551.28750113,0.0013212549822007847,580108010.1406226,0.18496432794070758,530616.790190738,0.00018476152549909108,99480607.97746155,486943.3100395845,0.013492227
2024-02-22,102590554.78609924,0.02646394137523863,602576609.0280336,0.22475892024995747,553148.708291215,0.0002253923179100028,101999504.96802843,591049.8180708117,0.008620501
2024-02-23,103750986.67930643,0.01148488705656537,620434051.4729285,0.17406517083495243,570957.7498727542,0.0001735933840953581,103274547.62952879,476439.04977764795,0.0008804798
2024-02-26,104085050.06757574,0.0034158327190460676,640723521.0286754,0.19555929254399787,591290.3765359366,0.00019597526070793333,103542629.42959026,542420.6379854814,-0.010424852
2024-02-27,108062280.15694195,0.03829160364965731,649225543.4429184,0.08168341571362232,599643.7702120709,8.025546099762618e-05,107825470.38884985,236809.76809209213,0.0119969845
2024-02-28,104923407.5542078,-0.0288689613891125,668312573.7533597,0.17662990529832068,618870.5794760043,0.00017792340894537672,104426266.68839537,497140.8658124348,-0.012741804
2024-02-29,109564929.24393764,0.04432097987394836,677216140.2879013,0.08485777141713258,627657.1242622897,8.374246501426177e-05,109310618.41942394,254310.82451369846,0.019076824
2024-03-01,111573899.0017258,0.01844757264081397,689405965.854807,0.11125663705551304,639894.3575873206,0.00011168932804935836,111237009.89428702,336889.10743877664,0.006177306
2024-03-04,112542555.99558432,0.008855652182803804,708716208.6268157,0.17307132711845064,659297.0059673536,0.00017389952805837555,112040258.32047679,502297.6751075336,0.0008677244
2024-03-05,111792900.89696129,-0.0063856853038802746,739545907.0116211,0.2739381393294023,690290.7587082653,0.00027539584885674477,110993488.26238196,799412.6345793349,0.006958723
2024-03-06,111643309.64084482,-0.001113297768390879,764730015.2197322,0.22527466418751455,715423.2277342003,0.00022481274592828988,110972307.83964339,671001.8012014343,-0.0040555
2024-03-07,110221554.4988453,-0.012600330923044861,778826091.9879571,0.12625993275881792,730435.7229151187,0.00013446838175268526,107732728.36743754,2488826.131407752,-0.006006658
2024-03-08,112490851.02642371,0.020752504028308937,797862444.6338934,0.1727098908420465,748512.449080465,0.00016400354946487087,111939354.58236153,551496.4440621715,0.0043034554
2024-03-11,113556244.56506675,0.00963812208401551,816675965.8750563,0.16724490098082434,767319.4659648909,0.00016718707977423147,113036563.85136321,519680.7137035364,0.012510896
2024-03-12,112315663.40260896,-0.010763963142147958,834950263.6032603,0.1609272814383448,785585.3973635669,0.00016085360579364517,111830981.27935994,484682.1232490288,0.0022928715
2024-03-13,112253731.47515476,-0.0004017183856098535,851768469.9995493,0.1497405249346399,802398.0578369745,0.00014969114693416002,111796953.8581421,456777.6170126591,-0.0069853663
2024-03-14,112287637.9297055,0.00048287131009946255,872001091.173972,0.180240076730998,822695.7096671927,0.00018081939516380934,111721096.65293214,566541.2767733573,-0.0028384328
