datetime,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2024-01-02,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,-0.013045371
2024-01-03,99955717.48482306,3.4604454413056373e-16,88565030.3539432,0.885650303539432,44282.51517697159,0.00044282515176971587,88565030.3539432,11390687.13087986,-0.0023771524
2024-01-04,98442696.34593289,-0.014960975236755894,107366338.2748924,0.18809637301441945,61868.64000454268,0.00017593915856030254,89499961.5266368,8942734.819296088,-0.009250283
2024-01-05,97089889.68140091,-0.013569065547582328,124934768.83758415,0.17846352461695428,78899.90513781211,0.00017300689401497757,89238516.98608276,7851372.695318152,-0.005359888
2024-01-08,96307309.15480277,-0.007891438428096665,141606937.15188143,0.17171889234818122,95301.54532447983,0.0001689325246994251,89013394.35493046,7293914.799872309,-0.0129314065
2024-01-09,96539973.07755227,0.002588786900265401,158336768.24723598,0.17371299480980518,111956.72291473887,0.000172937835522824,89412020.46546131,7127952.612090954,0.0019598007
2024-01-10,96247250.87800558,-0.00286997280640237,174147704.44181114,0.1637760576323546,127611.82499804166,0.000162161865020687,89446621.59054264,6800629.287462932,-0.004668176
2024-01-11,97331759.41502255,0.011441488487384834,190771941.83600897,0.17272428295400583,144315.10084420943,0.0001735454851311998,90389756.49946576,6942002.915556781,0.0056574345
2024-01-12,96643745.85002999,-0.0069000636324256575,207194860.17522502,0.16873134152634334,160733.33241717066,0.00016868318903960118,89727534.69855593,6916211.151474056,-0.0034894347
2024-01-15,97056408.98709969,0.0044506106597254754,224514443.6709195,0.17921059809261433,178193.8808234117,0.00018066920164017635,89875728.56293872,7180680.424160976,-0.0009895563
2024-01-16,97550556.67059858,0.005287022211209823,243249072.68399873,0.19302825242142793,197185.58737958324,0.00019567699603120336,89874712.86680914,7675843.803789439,0.0060836077
2024-01-17,95697134.79679301,-0.018824393512656773,260483444.5709029,0.17667117928501339,214277.39503907808,0.00017520973988092322,88323511.25548185,7373623.541311165,-0.021751761
2024-01-18,96473283.01785035,0.008250076485162437,274353777.01757675,0.1449398926741813,227637.85546617967,0.00013961191686116518,90132763.97611085,6340519.041739512,0.014137149
